clim_project,model,member,horizon,scenario,stats,spatial_ref,prcp,tavg
cmip6,AS-RCEC/TaiESM1,r1i1p1f1,far,ssp126,mean,0,,
cmip6,AS-RCEC/TaiESM1,r1i1p1f1,far,ssp245,mean,0,13.54704815,3.305696487
cmip6,AS-RCEC/TaiESM1,r1i1p1f1,far,ssp370,mean,0,,
cmip6,AS-RCEC/TaiESM1,r1i1p1f1,far,ssp585,mean,0,18.12683261,5.121198654
cmip6,AS-RCEC/TaiESM1,r1i1p1f1,near,ssp126,mean,0,,
cmip6,AS-RCEC/TaiESM1,r1i1p1f1,near,ssp245,mean,0,8.300859344,2.092237473
cmip6,AS-RCEC/TaiESM1,r1i1p1f1,near,ssp370,mean,0,,
cmip6,AS-RCEC/TaiESM1,r1i1p1f1,near,ssp585,mean,0,7.008669603,2.738237381
cmip6,CMCC/CMCC-CM2-SR5,r1i1p1f1,far,ssp126,mean,0,20.1124485,1.209363937
cmip6,CMCC/CMCC-CM2-SR5,r1i1p1f1,far,ssp245,mean,0,18.22706681,2.189239502
cmip6,CMCC/CMCC-CM2-SR5,r1i1p1f1,far,ssp370,mean,0,10.84680907,2.662239075
cmip6,CMCC/CMCC-CM2-SR5,r1i1p1f1,far,ssp585,mean,0,20.49802812,3.801904678
cmip6,CMCC/CMCC-CM2-SR5,r1i1p1f1,near,ssp126,mean,0,8.948965679,1.241529465
cmip6,CMCC/CMCC-CM2-SR5,r1i1p1f1,near,ssp245,mean,0,5.5066047,1.307697296
cmip6,CMCC/CMCC-CM2-SR5,r1i1p1f1,near,ssp370,mean,0,5.92150596,1.39220047
cmip6,CMCC/CMCC-CM2-SR5,r1i1p1f1,near,ssp585,mean,0,6.594437684,1.82803154
cmip6,CMCC/CMCC-ESM2,r1i1p1f1,far,ssp126,mean,0,22.15777077,1.166013718
cmip6,CMCC/CMCC-ESM2,r1i1p1f1,far,ssp245,mean,0,21.60429172,2.116514206
cmip6,CMCC/CMCC-ESM2,r1i1p1f1,far,ssp370,mean,0,11.94392901,2.658472061
cmip6,CMCC/CMCC-ESM2,r1i1p1f1,far,ssp585,mean,0,18.06649192,3.892679214
cmip6,CMCC/CMCC-ESM2,r1i1p1f1,near,ssp126,mean,0,10.62084293,1.067804337
cmip6,CMCC/CMCC-ESM2,r1i1p1f1,near,ssp245,mean,0,6.849369693,1.323928833
cmip6,CMCC/CMCC-ESM2,r1i1p1f1,near,ssp370,mean,0,0.272220243,1.279596329
cmip6,CMCC/CMCC-ESM2,r1i1p1f1,near,ssp585,mean,0,3.047590691,1.866804123
cmip6,CSIRO-ARCCSS/ACCESS-CM2,r1i1p1f1,far,ssp126,mean,0,,
cmip6,CSIRO-ARCCSS/ACCESS-CM2,r1i1p1f1,far,ssp245,mean,0,22.89214164,3.233543396
cmip6,CSIRO-ARCCSS/ACCESS-CM2,r1i1p1f1,far,ssp370,mean,0,1.725811461,4.616252899
cmip6,CSIRO-ARCCSS/ACCESS-CM2,r1i1p1f1,far,ssp585,mean,0,,
cmip6,CSIRO-ARCCSS/ACCESS-CM2,r1i1p1f1,near,ssp126,mean,0,,
cmip6,CSIRO-ARCCSS/ACCESS-CM2,r1i1p1f1,near,ssp245,mean,0,13.6822488,2.126127243
cmip6,CSIRO-ARCCSS/ACCESS-CM2,r1i1p1f1,near,ssp370,mean,0,5.849122535,2.209880829
cmip6,CSIRO-ARCCSS/ACCESS-CM2,r1i1p1f1,near,ssp585,mean,0,,
cmip6,INM/INM-CM4-8,r1i1p1f1,far,ssp126,mean,0,8.429995214,0.739322662
cmip6,INM/INM-CM4-8,r1i1p1f1,far,ssp245,mean,0,15.89958895,1.573532104
cmip6,INM/INM-CM4-8,r1i1p1f1,far,ssp370,mean,0,23.0133872,2.514072418
cmip6,INM/INM-CM4-8,r1i1p1f1,far,ssp585,mean,0,31.1132774,3.038908005
cmip6,INM/INM-CM4-8,r1i1p1f1,near,ssp126,mean,0,12.89908218,0.792531967
cmip6,INM/INM-CM4-8,r1i1p1f1,near,ssp245,mean,0,15.59235902,1.055530548
cmip6,INM/INM-CM4-8,r1i1p1f1,near,ssp370,mean,0,19.22949689,1.276865005
